,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
00:00:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
00:30:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
01:00:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
01:30:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
02:00:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
02:30:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
03:00:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
03:30:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
04:00:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
04:30:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
05:00:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
05:30:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
06:00:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
06:30:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
07:00:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
07:30:00,,Rest,Commuting,Social media,Chores,Sleeping,Commuting
08:00:00,,Rest,Commuting,Social media,Chores,Social media,Commuting
08:30:00,,Social media,Commuting,Social media,Chores,Personal care,Commuting
09:00:00,,Personal care,Study,Personal care,Chores,Personal care,Commuting
09:30:00,Commuting,Personal care,Study,Personal care,Chores,Personal care,Commuting
10:00:00,Commuting,Study,Chores,Chores,Chores,Phone time,Commuting
10:30:00,Chores,Study,Chores,Chores,Chores,Study,Commuting
11:00:00,Chores,Rest,Chores,Chores,Chores,Study,Commuting
11:30:00,Chores,Chores,Chores,Chores,Chores,Chores,Commuting
12:00:00,Sleeping,Sleeping,Chores,Chores,Chores,Chores,Commuting
12:30:00,Sleeping,Sleeping,Sleeping,Sleeping,Chores,Social media,Commuting
13:00:00,Sleeping,Sleeping,Sleeping,Sleeping,Chores,Social media,Commuting
13:30:00,Rest,Commuting,Sleeping,Sleeping,Sleeping,Social media,Commuting
14:00:00,Rest,Commuting,Rest,Sleeping,Personal care,Social media,Sleeping
14:30:00,Rest,Commuting,Rest,Sleeping,Personal care,Social media,Sleeping
15:00:00,Rest,Study,Rest,Personal care,Commuting,Sleeping,Sleeping
15:30:00,Rest,Study,Rest,Commuting,Commuting,Sleeping,Rest
16:00:00,Commuting,Study,Rest,Study,Commuting,Rest,Sleeping
16:30:00,Commuting,Study,Rest,Study,Commuting,Study,Commuting
17:00:00,Commuting,Study,Commuting,Study,Rest,Study,Commuting
17:30:00,Commuting,Study,Sleeping,Study,Rest,Study,Commuting
18:00:00,Commuting,Personal care,Sleeping,Study,Rest,Study,Commuting
18:30:00,Commuting,Commuting,Sleeping,Study,Social media,Study,Sleeping
19:00:00,Commuting,Social life,Sleeping,Study,Personal care,Personal care,Phone time
19:30:00,Commuting,Social life,Social life,Study,Social media,Chores,Sleeping
20:00:00,Personal care,Social life,Social life,Commuting,Social media,Phone time,Sleeping
20:30:00,Social life,Social life,Phone time,Rest,Social media,Phone time,Sleeping
21:00:00,Social life,Social life,Phone time,Rest,Social media,Social media,Sleeping
21:30:00,Phone time,Social life,Personal care,Social media,Social media,Social life,Social media
22:00:00,Social media,Personal care,Social media,Social media,Sleeping,Social life,Social media
22:30:00,,Rest,Social media,Personal care,Sleeping,Social life,Social media
23:00:00,Rest,Commuting,Social media,Chores,Sleeping,Social media,Social media
23:30:00,Rest,Commuting,Social media,Chores,Sleeping,Commuting,Social media
