datetime,time,weekday,what,where,with_whom,mood,what_eating
2022-10-25 13:30:00,13:30:00,Tuesday,Personal care,Home apartment /room,Alone,😁,NaN
2022-10-25 13:00:00,13:00:00,Tuesday,Eating,Home apartment /room,Alone,😁,"Bread, steamed buns and/or breakfast cereals"
2022-10-25 12:30:00,12:30:00,Tuesday,Commuting,Changing locality,By bus/tram,NaN,NaN
2022-10-25 12:00:00,12:00:00,Tuesday,Rest,Other university place,Alone,😁,NaN
2022-10-25 11:30:00,11:30:00,Tuesday,Rest,Other university place,Alone,😁,NaN
2022-10-25 11:00:00,11:00:00,Tuesday,Rest,Other university place,Alone,🙂,NaN
2022-10-25 10:30:00,10:30:00,Tuesday,Rest,Other university place,Roommate(s),😁,NaN
2022-10-25 10:00:00,10:00:00,Tuesday,Rest,Other university place,Roommate(s),🙂,NaN
2022-10-25 09:30:00,09:30:00,Tuesday,Rest,Other university place,Roommate(s),🙂,NaN
2022-10-25 09:00:00,09:00:00,Tuesday,Commuting,Other leisure,By bus/tram,NaN,NaN
2022-10-25 08:30:00,08:30:00,Tuesday,Personal care,Home apartment /room,Alone,😁,NaN
2022-10-25 08:00:00,08:00:00,Tuesday,Eating,Home apartment /room,Roommate(s),😁,Pastries and sweets
2022-10-25 07:30:00,07:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 07:00:00,07:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 06:30:00,06:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 06:00:00,06:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 05:30:00,05:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 05:00:00,05:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 04:30:00,04:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 04:00:00,04:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 03:30:00,03:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 03:00:00,03:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 02:30:00,02:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 02:00:00,02:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 01:30:00,01:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 01:00:00,01:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-25 00:30:00,00:30:00,Tuesday,Personal care,Home apartment /room,Friend(s),😁,NaN
2022-10-25 00:00:00,00:00:00,Tuesday,Personal care,Home apartment /room,Alone,😁,NaN
2022-10-24 23:30:00,23:30:00,Monday,Social life,In the street,Friend(s),😁,NaN
2022-10-24 23:00:00,23:00:00,Monday,Social life,Home apartment /room,Friend(s),😁,NaN
2022-10-24 22:30:00,22:30:00,Monday,Social life,"Café, pub, bar",Friend(s),😁,NaN
2022-10-24 22:00:00,22:00:00,Monday,Social life,"Café, pub, bar",Friend(s),😁,NaN
2022-10-24 21:30:00,21:30:00,Monday,Eating,"Restaurant, pizzeria, Street food vendor",Classmate(s),😁,"Bread, steamed buns and/or breakfast cereals"
2022-10-24 21:00:00,21:00:00,Monday,Social life,Home apartment /room,Classmate(s),😁,NaN
2022-10-24 20:30:00,20:30:00,Monday,Social life,"Café, pub, bar",Classmate(s),😁,NaN
2022-10-24 20:00:00,20:00:00,Monday,Social life,"Café, pub, bar",Classmate(s),😁,NaN
2022-10-24 19:30:00,19:30:00,Monday,Study,NaN,NaN,NaN,NaN
2022-10-24 19:00:00,19:00:00,Monday,Study,NaN,NaN,NaN,NaN
2022-10-24 18:30:00,18:30:00,Monday,Study,NaN,NaN,NaN,NaN
2022-10-24 17:30:00,17:30:00,Monday,Study,Classroom / Study hall,Alone,😁,NaN
2022-10-24 17:00:00,17:00:00,Monday,Commuting,In the street,Alone,😁,NaN
2022-10-24 16:30:00,16:30:00,Monday,Commuting,Home apartment /room,Alone,😁,NaN
2022-10-24 16:00:00,16:00:00,Monday,Personal care,Home apartment /room,Alone,😁,NaN
2022-10-24 15:30:00,15:30:00,Monday,Social media,Home apartment /room,Alone,😁,NaN
2022-10-24 15:00:00,15:00:00,Monday,Social media,Home apartment /room,Alone,😁,NaN
2022-10-24 14:30:00,14:30:00,Monday,Social media,Home apartment /room,Alone,😁,NaN
2022-10-24 14:00:00,14:00:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 13:30:00,13:30:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 13:00:00,13:00:00,Monday,Chores,Home apartment /room,Alone,😁,NaN
2022-10-24 12:30:00,12:30:00,Monday,Eating,Home apartment /room,Alone,😁,"Rice, potatoes, beans, pasta, noodles, dumplings, etc."
2022-10-24 12:00:00,12:00:00,Monday,Chores,Home apartment /room,Alone,😁,NaN
2022-10-24 11:30:00,11:30:00,Monday,Eating,Home apartment /room,Alone,😁,Vegetables
2022-10-24 11:00:00,11:00:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 10:30:00,10:30:00,Monday,Personal care,"Gym, swimming pool, Sports centre...",Alone,😁,NaN
2022-10-24 10:00:00,10:00:00,Monday,Sport,"Gym, swimming pool, Sports centre...",Alone,😁,Gymnastics and fitness
2022-10-24 09:30:00,09:30:00,Monday,Sport,"Gym, swimming pool, Sports centre...",Alone,😁,Gymnastics and fitness
2022-10-24 09:00:00,09:00:00,Monday,Sport,"Gym, swimming pool, Sports centre...",Alone,😁,Gymnastics and fitness
2022-10-24 08:30:00,08:30:00,Monday,Commuting,In the street,Alone,😁,NaN
2022-10-24 08:00:00,08:00:00,Monday,Personal care,Home apartment /room,Alone,😁,NaN
2022-10-24 07:30:00,07:30:00,Monday,Eating,Home apartment /room,Alone,😁,"Bread, steamed buns and/or breakfast cereals"
2022-10-24 07:00:00,07:00:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 06:30:00,06:30:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 06:00:00,06:00:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 05:30:00,05:30:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 05:00:00,05:00:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 04:30:00,04:30:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 04:00:00,04:00:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 03:30:00,03:30:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 03:00:00,03:00:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 02:30:00,02:30:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 02:00:00,02:00:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
2022-10-24 01:30:00,01:30:00,Monday,Sleeping,Home apartment /room,Alone,😁,NaN
